( having * having | select creation , name , budget_in_billions from department <n>
( having * having , born_state having order having | select t1 . name from user_profiles as t1 join follows as t2 on t1 . uid = t2 . uid group by t2 . uid having count ( * ) > = value <n>
( having * having ) having head having | select partitionid from user_profiles where email like value or email like value <n>
( having * having name born_state having value | select name from user_profiles order by followers desc <n>
( having * having ) having | select partitionid from user_profiles where name = value <n>
( having * having | select avg ( followers ) from user_profiles <n>
( having * having , born_state having order having | select date_of_latest_revision from catalogs group by date_of_latest_revision having count ( * ) > = value <n>
( having * having ) having | select attribute_data_type from attribute_definitions where attribute_name = value <n>
( having * having ) having | select attribute_data_type from attribute_definitions where attribute_name = value <n>
( having * having , born_state having order having | select date_of_latest_revision from catalogs group by date_of_latest_revision having count ( * ) > = value <n>
( having * having name born_state having value by having | select catalog_entry_name from catalog_contents order by price_in_dollars desc limit value <n>
( having * having name born_state having by having | select catalog_entry_name from catalog_contents order by price_in_dollars asc limit value <n>
( having * having name born_state having value by having | select catalog_entry_name from catalog_contents order by price_in_dollars desc limit value <n>
( having * having name born_state having | select attribute_data_type from attribute_definitions order by attribute_data_type asc <n>
( having * having ) having | select t1 . attribute_name , t1 . attribute_id from attribute_definitions as t1 join catalog_contents_additional_attributes as t2 on t1 . attribute_id = t2 . attribute_id where t2 . attribute_value = value <n>
( having * having ) having | select t1 . attribute_name , t1 . attribute_id from attribute_definitions as t1 join catalog_contents_additional_attributes as t2 on t1 . attribute_id = t2 . attribute_id where t2 . attribute_value = value <n>
( having * having | select t1 . attribute_name , t1 . attribute_id from attribute_definitions as t1 join catalog_contents_additional_attributes as t2 on t1 . attribute_id = t2 . attribute_id <n>
( having * having | select count ( * ) from catalog_contents <n>
( having * having | select count ( * ) from flight <n>
( having * having ) having | select t2 . name from flight as t1 join aircraft as t2 on t1 . aid = t2 . aid where t1 . flno = value <n>
( having * having ) having from having | select count ( * ) from employee where salary between value and value <n>
( having * having | select avg ( salary ) , avg ( salary ) from employee <n>
( having * having name born_state having by having | select name from employee order by salary asc limit value <n>
( having * having ) having ( having * having | select name from employee where salary > ( select avg ( salary ) from employee ) <n>
( having * having name born_state having | select flno from flight order by distance asc <n>
( having * having , born_state having order having | select t2 . name from flight as t1 join aircraft as t2 on t1 . aid = t2 . aid group by t1 . aid having count ( * ) > = value <n>
( having * having ) having | select t2 . name from flight as t1 join aircraft as t2 on t1 . aid = t2 . aid where t1 . flno = value <n>
( having * having name born_state having by having | select name from employee order by salary asc limit value <n>
( having * having name born_state having value by having | select eid , name from employee order by salary desc limit value <n>
( having * having ) having | select aid from aircraft where distance > value <n>
( having * having name born_state having | select flno from flight order by distance asc <n>
( having * having ) having | select t2 . name from flight as t1 join aircraft as t2 on t1 . aid = t2 . aid where t1 . flno = value <n>
( having * having ) having | select aid from aircraft where distance > value <n>
( having * having ) having | select avg ( distance ) from flight where origin = value <n>
( having * having ) having | select aid from aircraft where distance > value <n>
( having * having name born_state having by having | select flno from flight order by distance asc limit value <n>
( having * having , born_state having | select destination , count ( * ) from flight group by destination <n>
( having * having , born_state having | select destination , count ( * ) from flight group by destination <n>
( having * having , born_state having name born_state having by having | select destination from flight group by destination order by count ( * ) asc limit value <n>
( having * having ) having | select aid from aircraft where distance > value <n>
( having * having , born_state having | select destination , count ( * ) from flight group by destination <n>
( having * having | select count ( * ) from flight <n>
( having * having ) having | select t2 . name from flight as t1 join aircraft as t2 on t1 . aid = t2 . aid where t1 . flno = value <n>
( having * having ) having | select t2 . name from flight as t1 join aircraft as t2 on t1 . aid = t2 . aid where t1 . flno = value <n>
( having * having = ( having * having ) having | select name from employee except select t1 . name from employee as t1 join certificate as t2 on t1 . eid = t2 . eid join aircraft as t3 on t3 . aid = t2 . aid where t3 . name = value <n>
( having * having ) having ! ( having * having ) having | select t1 . name from employee as t1 join certificate as t2 on t1 . eid = t2 . eid join aircraft as t3 on t3 . aid = t2 . aid where t3 . name = value intersect select t1 . name from employee as t1 join certificate as t2 on t1 . eid = t2 . eid join aircraft as t3 on t3 . aid = t2 . aid where t3 . name = value <n>
( having * having ) having , born_state having name born_state having value by having | select t1 . name from employee as t1 join certificate as t2 on t1 . eid = t2 . eid join aircraft as t3 on t3 . aid = t2 . aid where t3 . distance > value group by t1 . eid order by count ( * ) desc limit value <n>
( having * having | select count ( * ) from student <n>
( having * having | select count ( * ) from student <n>
( having * having | select stuid from student <n>
( having * having ) having | select stuid from student where sex = value <n>
( having * having , born_state having | select allergytype , count ( * ) from allergy_type group by allergytype <n>
( having * having , born_state having name born_state having value by having | select allergytype from allergy_type group by allergytype order by count ( * ) desc limit value <n>
( having * having | select count ( * ) from student <n>
( having group having * having | select count ( distinct advisor ) from student <n>
( having * having | select advisor , advisor from student <n>
( having * having ) having ( having * having ) having | select fname , lname from student where stuid not in ( select t1 . stuid from has_allergy as t1 join allergy_type as t2 on t1 . allergy = t2 . allergy where t2 . allergytype = value ) <n>
( having * having | select count ( * ) from student <n>
( having * having ) having | select stuid from student where sex = value <n>
( having * having ) having | select stuid from student where sex = value <n>
( having * having | select avg ( age ) from student <n>
( having * having name born_state having value by having | select advisor from student order by city_code desc limit value <n>
( having * having | select count ( * ) from student <n>
( having * having | select count ( * ) from student <n>
( having * having ) having | select avg ( age ) from student where sex = value <n>
( having * having | select count ( * ) from student <n>
( having * having ) having | select count ( * ) from allergy_type where allergytype = value <n>
( having * having , born_state having order having | select advisor from student group by advisor having count ( * ) > = value <n>
( having * having ) having head having | select count ( * ) from student where city_code = value or city_code = value <n>
( having * having , born_state having name born_state having value by having | select allergytype from allergy_type group by allergytype order by count ( * ) desc limit value <n>
( having * having , born_state having | select advisor , count ( * ) from student group by advisor <n>
( having * having ) having ! ( having * having ) having | select lname from student where sex = value intersect select stuid from has_allergy where allergy = value <n>
( having * having ) having ( having * having ) having | select fname , lname from student where stuid not in ( select t1 . stuid from has_allergy as t1 join allergy_type as t2 on t1 . allergy = t2 . allergy where t2 . allergytype = value ) <n>
( having * having ) having ( having * having ) having ! ( having * having ) having | select lname , sex from student where stuid in ( select t1 . stuid from has_allergy as t1 join allergy_type as t2 on t1 . allergy = t2 . allergy where t2 . allergytype = value intersect select t1 . stuid from has_allergy as t1 join allergy_type as t2 on t1 . allergy = t2 . allergy where t2 . allergytype = value intersect select t1 . stuid from has_allergy as t1 join allergy_type as t2 on t1 . allergy = t2 . allergy where t2 . allergytype = value intersect select t1 . stuid from has_allergy as t1 join allergy_type as t2 on t1 . allergy
( having * having ) having | select count ( * ) from allergy_type where allergytype = value <n>
( having * having ) having head having | select count ( * ) from student where city_code = value or city_code = value <n>
( having * having ) having | select fname , lname , age from student where sex = value <n>
( having * having ) having | select t2 . name from genres as t1 join tracks as t2 on t1 . id = t2 . genre_id where t1 . name = value <n>
( having * having name born_state having value by having | select first_name , last_name from employees order by hire_date desc limit value <n>
( having * having | select first_name , last_name from employees <n>
( having * having , born_state having | select t2 . name , count ( * ) from playlist_tracks as t1 join playlists as t2 on t2 . id = t1 . playlist_id group by t1 . name <n>
( having * having name born_state having | select first_name , last_name from employees order by hire_date asc <n>
( having * having name born_state having by having | select first_name , last_name from employees order by hire_date asc limit value <n>
( having * having ) having | select composer from tracks where name = value <n>
( having * having name born_state having by having | select first_name , last_name from employees order by hire_date asc limit value <n>
( having * having , born_state having name born_state having value by having | select billing_country , count ( * ) from invoices group by billing_country order by count ( * ) desc limit value <n>
( having * having | select count ( * ) from customers <n>
( having * having ) having | select composer from tracks where name = value <n>
( having * having ) having | select composer from tracks where name = value <n>
( having * having ) having | select count ( * ) from customers as t1 join invoices as t2 on t1 . id = t2 . genre_id where t1 . name = value <n>
( having * having ) having | select t2 . name from genres as t1 join tracks as t2 on t1 . id = t2 . genre_id where t1 . name = value <n>
( having * having ) having | select composer from tracks where name = value <n>
( having * having ) having | select first_name , last_name , salary from employees where first_name like value <n>
( having * having , born_state having name born_state having value by having | select t1 . first_name , t1 . last_name , count ( * ) from customers as t1 join invoices as t2 on t2 . customer_id = t1 . id group by t1 . id order by count ( * ) desc limit value <n>
( having * having ) having | select count ( * ) from customers as t1 join invoices as t2 on t1 . id = t2 . genre_id where t1 . name = value <n>
( having * having ) having from having | select first_name , last_name from employees where first_name like value and last_name = value <n>
( having * having ) having , born_state having | select billing_state , count ( * ) from invoices where billing_country = value group by billing_state <n>
( having * having | select first_name , last_name from employees <n>
( having * having ) having from having | select count ( * ) from invoices where billing_city = value and billing_state = value <n>
( having * having | select count ( * ) from customers <n>
( having * having | select name from media_types <n>
( having * having ) having from having | select count ( * ) from invoices where billing_city = value and billing_state = value <n>
( having * having name born_state having by having | select first_name , last_name from employees order by hire_date asc limit value <n>
( having * having ) having | select t2 . name from genres as t1 join tracks as t2 on t1 . id = t2 . genre_id where t1 . name = value <n>
( having * having ) having from having | select first_name , last_name from employees where first_name like value and last_name = value <n>
( having * having ) having head having | select t2 . name from genres as t1 join tracks as t2 on t1 . id = t2 . genre_id where t1 . name = value or t1 . name = value <n>
( having * having ) having | select t2 . name from genres as t1 join tracks as t2 on t1 . id = t2 . genre_id where t1 . name = value <n>
( having * having ) having | select composer from tracks where name = value <n>
( having * having ) having = ( having * having ) having | select t1 . name from tracks as t1 join playlist_tracks as t2 on t1 . id = t2 . track_id join playlists as t3 on t2 . playlist_id = t3 . id where t3 . name = value except select t1 . name from tracks as t1 join playlist_tracks as t2 on t1 . id = t2 . track_id join playlists as t3 on t2 . playlist_id = t3 . id where t3 . name = value except select t1 . name from tracks as t1 join playlist_tracks as t2 on t1 . id = t2 . track_id join playlists as t3 on t2 . playlist_id = t3 . id where t3 .
( having * having ) having ! ( having * having ) having | select t1 . name from tracks as t1 join playlist_tracks as t2 on t1 . id = t2 . track_id join playlists as t3 on t2 . playlist_id = t3 . id where t3 . name = value intersect select t1 . name from tracks as t1 join playlist_tracks as t2 on t1 . id = t2 . track_id join playlists as t3 on t2 . playlist_id = t3 . id where t3 . name = value <n>
( having * having | select count ( * ) from editor <n>
( having * having ) having head having | select t2 . name from journal_committee as t1 join editor as t2 on t1 . editor_id = t2 . editor_id join journal as t3 on t1 . journal_id = t3 . journal_id where t3 . theme = value or t3 . theme = value <n>
( having * having , born_state having name born_state having value by having | select editor_id from editor group by age order by count ( * ) desc limit value <n>
( having * having , born_state having | select t2 . editor_id , t2 . name , count ( * ) from journal_committee as t1 join editor as t2 on t1 . editor_id = t2 . editor_id group by t1 . editor_id <n>
( having * having , born_state having order having | select t2 . name from journal_committee as t1 join editor as t2 on t1 . editor_id = t2 . editor_id group by t2 . editor_id having count ( * ) > = value <n>
( having * having ) having | select avg ( age ) from editor where age > value <n>
( having * having | select account_id , customer_id , account_name from accounts <n>
( having * having ) having | select t2 . customer_first_name , t2 . customer_last_name , t2 . customer_phone from customers_cards as t1 join customers as t2 on t1 . customer_id = t2 . customer_id where t1 . card_number = value <n>
( having * having ) having | select date_valid_from , date_valid_to from customers_cards where card_number = value <n>
( having * having , born_state having name born_state having value by having | select transaction_type from financial_transactions group by transaction_type order by sum ( transaction_amount ) desc limit value <n>
( having * having | select count ( * ) from customers_cards <n>
( having * having = ( having * having | select customer_id from customers except select customer_id from accounts <n>
( having * having | select count ( * ) from customers_cards <n>
( having * having | select account_id , customer_id , account_name from accounts <n>
( having * having ) having | select t2 . customer_first_name , t2 . customer_last_name , t2 . customer_phone from customers_cards as t1 join customers as t2 on t1 . customer_id = t2 . customer_id where t1 . card_number = value <n>
( having * having | select account_id , customer_id , account_name from accounts <n>
( having * having ) having | select t2 . customer_first_name , t2 . customer_last_name , t2 . customer_phone from customers_cards as t1 join customers as t2 on t1 . customer_id = t2 . customer_id where t1 . card_number = value <n>
( having * having ) having | select count ( * ) from customers_cards where customer_id like value <n>
( having * having ) having | select count ( * ) from customers_cards where customer_id like value <n>
( having * having , born_state having name born_state having value by having | select transaction_type from financial_transactions group by transaction_type order by sum ( transaction_amount ) desc limit value <n>
( having * having , born_state having order having | select t1 . customer_id , t2 . customer_first_name , t2 . customer_last_name from customers_cards as t1 join customers as t2 on t1 . customer_id = t2 . customer_id group by t1 . customer_id having count ( * ) > = value <n>
( having * having , born_state having | select transaction_type , count ( * ) from financial_transactions group by transaction_type <n>
( having * having , born_state having order having | select customer_id from customers_cards group by customer_id having count ( * ) > = value <n>
( having * having , born_state having | select transaction_type , count ( * ) from financial_transactions group by transaction_type <n>
( having * having | select account_id , customer_id , account_name from accounts <n>
( having * having | select account_id , customer_id , account_name from accounts <n>
( having group having * having | select count ( distinct customer_id ) from customers_cards <n>
( having * having | select count ( * ) from customers_cards <n>
( having * having , born_state having name born_state having value by having | select transaction_type from financial_transactions group by transaction_type order by sum ( transaction_amount ) desc limit value <n>
( having * having ) having | select date_valid_from , date_valid_to from customers_cards where card_number = value <n>
( having * having | select name , location from track <n>
( having * having name born_state having value by having | select name , location , seating from track order by year_opened desc limit value <n>
( having * having | select min ( seating ) , max ( seating ) , avg ( seating ) from track <n>
( having * having | select count ( * ) from race <n>
( having * having | select count ( * ) from race <n>
( having * having | select name , location from track <n>
( having * having , born_state having name born_state having value by having | select class from race group by class order by count ( * ) desc limit value <n>
( having * having ) having | select name from track where name like value <n>
( having * having = ( having * having | select name from track except select t2 . name from race as t1 join track as t2 on t1 . track_id = t2 . track_id <n>
( having * having , born_state having | select class , count ( * ) from race group by class <n>
( having * having | select name , location from track <n>
( having * having , born_state having order having | select class from race group by class having count ( * ) > = value <n>
( having * having | select count ( * ) from member <n>
( having * having name born_state having | select name from member order by lat asc <n>
( having * having ) having ! ( having * having ) having | select shop_id from shop where score > value intersect select shop_id from shop where open_year < value <n>
( having * having name born_state having | select shop_id , num_of_staff from shop order by shop_id asc <n>
( having * having ) having | select shop_id from member where membership_card = value <n>
( having * having , born_state having order having | select membership_card from member group by membership_card having count ( * ) > = value <n>
( having * having | select t2 . name from album as t1 join artist as t2 on t1 . artistid = t2 . artistid <n>
( having * having ) having | select t2 . name from album as t1 join artist as t2 on t1 . artistid = t2 . artistid where t1 . title = value <n>
( having * having | select count ( * ) from album <n>
( having * having ) having | select t2 . name from album as t1 join artist as t2 on t1 . artistid = t2 . artistid where t1 . title = value <n>
( having * having ) having | select t2 . name from album as t1 join artist as t2 on t1 . artistid = t2 . artistid where t1 . title = value <n>
( having * having , born_state having name born_state having value by having | select t1 . name from genre as t1 join track as t2 on t1 . genreid = t2 . genreid group by t2 . genreid order by count ( * ) desc limit value <n>
( having * having | select avg ( age ) from artist <n>
( having * having , born_state having | select t2 . name , count ( * ) from album as t1 join track as t2 on t1 . albumid = t2 . albumid group by t2 . title <n>
( having * having , born_state having name born_state having value by having | select t1 . name from genre as t1 join track as t2 on t1 . genreid = t2 . genreid group by t2 . genreid order by count ( * ) desc limit value <n>
( having * having ) having | select t2 . name from album as t1 join artist as t2 on t1 . artistid = t2 . artistid where t1 . title = value <n>
( having * having ) having | select avg ( t1 . total ) from genre as t1 join track as t2 on t1 . genreid = t2 . genreid where t1 . name = value <n>
( having * having ) having | select t2 . name from album as t1 join artist as t2 on t1 . artistid = t2 . artistid where t1 . title = value <n>
( having * having ) having | select t2 . name from album as t1 join artist as t2 on t1 . artistid = t2 . artistid where t1 . title = value <n>
( having * having | select count ( * ) from album <n>
( having * having ) having | select t2 . name from album as t1 join artist as t2 on t1 . artistid = t2 . artistid where t1 . title = value <n>
( having * having ) having | select t2 . name from album as t1 join artist as t2 on t1 . artistid = t2 . artistid where t1 . title = value <n>
( having * having | select max ( milliseconds ) , min ( milliseconds ) from track <n>
( having * having ) having | select count ( * ) from customer where email like value <n>
( having * having , born_state having order having | select t1 . lastname from customer as t1 join employee as t2 on t1 . supportrepid = t2 . employeeid group by t1 . supportrepid having count ( * ) > = value <n>
( having * having name born_state having | select * from customer order by name asc <n>
( having * having name born_state having | select name from track order by name asc <n>
( having * having ) having | select avg ( t1 . total ) from genre as t1 join track as t2 on t1 . genreid = t2 . genreid where t1 . name = value <n>
( having * having ) having | select t2 . name from album as t1 join artist as t2 on t1 . artistid = t2 . artistid where t1 . title = value <n>
( having * having | select count ( * ) from album <n>
( having * having ) having ! ( having * having ) having | select t1 . title from album as t1 join track as t2 on t1 . albumid = t2 . albumid join genre as t3 on t2 . genreid = t3 . genreid where t3 . name = value intersect select t1 . title from album as t1 join track as t2 on t1 . albumid = t2 . albumid join genre as t3 on t2 . genreid = t3 . genreid where t3 . name = value <n>
( having * having ) having | select customer_phone from available_policies where policy_type_code = value <n>
( having * having , born_state having name born_state having value by having | select policy_type_code from available_policies group by policy_type_code order by count ( * ) desc limit value <n>
( having * having , born_state having order having | select policy_type_code from available_policies group by policy_type_code having count ( * ) > = value <n>
( having * having , born_state having order having | select policy_type_code from available_policies group by policy_type_code having count ( * ) > = value <n>
( having * having name born_state having value by having | select customer_phone from available_policies order by customer_phone desc limit value <n>
( having * having name born_state having value by having | select product_name from products order by product_price desc limit value <n>
( having * having , born_state having name born_state having value by having | select policy_type_code from available_policies group by policy_type_code order by count ( * ) desc limit value <n>
( having * having name born_state having | select service_name from services order by service_name asc <n>
( having * having = ( having * having | select customer_name from customers except select t1 . customer_name from customers as t1 join first_notification_of_loss as t2 on t1 . customer_id = t2 . customer_id <n>
( having * having ) having ! ( having * having ) having | select t1 . customer_id from customers as t1 join first_notification_of_loss as t2 on t1 . customer_id = t2 . customer_id where t2 . order_status = value intersect select t1 . customer_id from customers as t1 join first_notification_of_loss as t2 on t1 . customer_id = t2 . customer_id where t2 . order_status = value <n>
( having * having ) having | select t3 . policy_type_code from customers as t1 join customers_policies as t2 on t1 . customer_id = t2 . customer_id join available_policies as t3 on t2 . policy_id = t3 . policy_id where t1 . customer_name = value <n>
( having * having name born_state having | select service_name from services order by service_name asc <n>
( having group having * having | select count ( distinct fda_approved ) from medicine <n>
( having * having name born_state having value | select name from enzyme order by name desc <n>
( having * having ) having | select product , chromosome , porphyria from enzyme where location = value <n>
( having * having ) having ( having * having | select name from enzyme where id not in ( select enzyme_id from medicine_enzyme_interaction ) <n>
( having * having ) having | select name from enzyme where name like value <n>
( having * having , born_state having order having | select t1 . id , t1 . trade_name from medicine as t1 join medicine_enzyme_interaction as t2 on t2 . medicine_id = t1 . id group by t1 . id having count ( * ) > = value <n>
( having * having ) having , born_state having name born_state having value by having | select t1 . id , t1 . name from enzyme as t1 join medicine_enzyme_interaction as t2 on t1 . id = t2 . enzyme_id where t2 . interaction_type = value group by t1 . id order by count ( * ) desc limit value <n>
( having * having ) having from having | select t1 . interaction_type from medicine_enzyme_interaction as t1 join medicine as t2 on t1 . medicine_id = t2 . id join enzyme as t3 on t1 . enzyme_id = t3 . id where t3 . name = value and t2 . name = value <n>
( having * having ) having | select count ( * ) from medicine where fda_approved = value <n>
( having * having , born_state having order having | select t1 . id , t1 . trade_name from medicine as t1 join medicine_enzyme_interaction as t2 on t2 . medicine_id = t1 . id group by t1 . id having count ( * ) > = value <n>
( having * having ) having | select t1 . name from enzyme as t1 join medicine_enzyme_interaction as t2 on t2 . enzyme_id = t1 . id where t2 . interaction_type = value <n>
( having * having = ( having * having ) having | select name , trade_name from medicine except select t1 . name , t1 . trade_name from medicine as t1 join medicine_enzyme_interaction as t2 on t2 . medicine_id = t1 . id join enzyme as t3 on t3 . id = t2 . enzyme_id where t3 . name = value <n>
( having * having ) having | select name , trade_name from medicine where fda_approved = value <n>
( having * having , born_state having | select trade_name , count ( * ) from medicine group by trade_name <n>
( having * having | select count ( * ) from university <n>
( having * having ) having | select t2 . all_games , t1 . location from university as t1 join basketball_match as t2 on t1 . school_id = t2 . school_id where location = value <n>
( having * having | select count ( * ) from university <n>
( having * having name born_state having value by having | select acc_percent from basketball_match order by acc_percent desc limit value <n>
( having * having ) having | select t2 . all_games , t1 . location from university as t1 join basketball_match as t2 on t1 . school_id = t2 . school_id where location = value <n>
( having * having ) having | select avg ( enrollment ) , max ( enrollment ) from university where founded > value <n>
( having * having | select max ( enrollment ) from university <n>
( having * having ) having ( having * having | select count ( * ) from university where school_id not in ( select school_id from basketball_match ) <n>
( having * having ) having head having | select count ( * ) from university where founded > value or affiliation = value <n>
( having * having ) having | select count ( * ) from university where location like value <n>
( having * having ) having , born_state having | select count ( * ) , affiliation from university where founded > value group by affiliation <n>
( having * having ) having , born_state having | select count ( * ) , affiliation from university where founded > value group by affiliation <n>
( having * having | select max ( enrollment ) from university <n>
( having * having ) having ! ( having * having ) having | select t1 . pixels from screen_mode as t1 join phone as t2 on t1 . graphics_mode = t2 . screen_mode where t2 . accreditation_type = value intersect select t1 . pixels from screen_mode as t1 join phone as t2 on t1 . graphics_mode = t2 . screen_mode where t2 . accreditation_type = value <n>
( having * having ) having | select count ( * ) from chip_model where wifi = value <n>
( having * having ) having head having | select hardware_model_name , phone from phone where hardware_model_name = value or company_name = value <n>
( having * having , born_state having name born_state having value by having | select company_name from phone group by accreditation_type order by count ( * ) desc limit value <n>
( having * having name born_state having value by having | select model_name from chip_model order by ram_mib desc limit value <n>
( having * having ) having head having | select hardware_model_name , phone from phone where hardware_model_name = value or company_name = value <n>
( having * having , born_state having | select company_name , count ( * ) from phone group by company_name <n>
( having * having ) having | select count ( * ) from chip_model where wifi = value <n>
